id,header_review,ulasan,label
332,Bahan Nya Buruk Dan Tipis,bahan nya buruk dan tipis. di info nya kurang jelas. ukuran terlalu kecil gak sesuai,0
333,Keren,"Barang bagus, udah dapet paket lengkap. Usb sama headset sekaligus. Mantap deh pokonya",1
334,Sesuai Pesanan,murah meriah kukit asli dan sudah di sol,1
335,Bagus,Bagusss apalagi kalo dapat bonus,1
336,Wkwkwkwkwkwkwk,anggap baik saja dari pada pusing,1
337,Bahan Enteng,kualitas material ringkih dan tombol crono nya keras untuk di pencet,1
338,Lama Sampainya,Lama sampainya,0
339,Barang Sudah Diterima Sesuai Gambar,Barang sudah diterima sesuai gambar. Cuma Proses nya lama.,1
340,Ga Body Glass,"di gambar mengkilap ko ini yg saya terima engga ya gan, klo motipnya beda si saya ga permasalahkan scara namanya batu ya ga bisa sama.. tapi ini...",0
341,Mantabb,Dapet promo Flash sale dari buka lapak..mantabbb dah.,1
342,Baju Muslim,"Barang cpt sampai,sesuai prsanan",1
343,Hrga Murah Dri Dtoko,hrga murah dri dtoko,1
344,Makasi Kk Bagus,Makasi kk bagus,1
345,Brg Murah Tp Style,Brg ok.............................ok gaes,1
346,Suara Mantap,Tapi barang tidak sesuai gambar dan tidak ada bluetooth nya,0
347,Recommended,"Barang sesuai gambar, bahan ok harga terjangkau",1
348,"Lumayan Bagus, Dan Sesuai Harganya","lumayan bagus, dan sesuai harganya ",1
349,Topi Import Keren Abissss,mantap jiwalah pokoknya keren gan gaul topi nya,1
350,Lambat Dan Resi Susah Di Lacak,lambat resi susaha dilacak bonus tidak bisa di pakai,0
351,"Barangnya Sesuai Dng Deskripsi, Pesanan Sesuai.","Barangnya sesuai dng deskripsi, pesanan sesuai.",1
352,Bagus Kok,Bagus..tapi sayang kekecilan mb,1
353,Tak Sesuai Dengan Demo Di Video Nya,Barang sesuai gambar cuma tak sesuai dengan video demo nya,0
354,Kecewa,Sy tdk suka karna sepatu yg di sebelah kiri gak di jahit,0
355,Sesuai Pesanan,sesuai pesanan,1
356,Kecewa Berat,"Barang tidak bisa digunakan , nyala tapi suara kusut, payah ,kecewa berattt !!!!",0
357,Kecewa..,"Saran buat seller, kalau barang habis sebaiknya di tolak aja, jangan di kirim asal2-an .. saya sangat kecewa, saya pesan 5 pcs, yg sesuai dengan yg saya minta cuma 2 pcs, yg lainnya sempit .. saya minta L, di kasih M ..",0
358,Kecewa!,jahitan dalam berantakan ,0
359,Keren,iya yang unik yang unik yang unik hehe,1
360,Barang Oke,Barang oke... tapi kebanyakan lagu anak anaknya...dan sedikit yang ada teksnya.... apapun untuk harga segitu saya puas dengan jualan mas Deni,1
361,Bagus Barang Sesuai Pesanan,bagus barang sesuai pesanan,1
362,Sesuai Pesanan,sesuai pesanan,1
363,Ok,ok,1
364,Terima Maksih,terima maksih,1
365,"Fast Respon, Barang Cepat Sampai.","Fast respon chat, barang cepat sampai. Kualitas barang lumayan.",1
366,Barang Tidak Lengkap,Saya sudah baca dengan sangat detail sebelum memesan...knapa saat barang d tangan...hnya ad mesin potong dan sebuah sisir...pdahal d sana disebutkan dengan jelas kelengkapan nya...,0
367,Kualitas Bagus,"kualitas bagus, Seperti orinya, tdk belang, & packing bublewarp tebal. mantap.",1
368,Bagus,Barang sesuai pesanan walaupun slow respon dan lama sampai,1
369,Barang Mudah Retak,Packingx rapi.,0
370,Bagus,Barang sesuai pesanan respon cepat,1
371,Oke Bgt,"Mantaaap deh jadiii lebiiiiihhhh seneng buat jalanin sunnahhh, moga moga allah paring barokaah yg banyakk",1
372,"Bagus... 
Terima Kasih...",bagus... ,1
373,Bagus,bagus,1
374,Cm Dapet Remotnya Yg Tdk Jln,"cm dapet remotnya yg tdk jln, trs ga kuat lama, klo udh panas adaptornya, layar jd putih smua, hrs restart ulang baru bagus lg gambarnya.",1
375,Barang Sesuai,Packingnya rapih barang sesuai di gambar,1
376,Terima Kasih,Barang sudah kami terima dengan baik,1
377,Mantab Cocok,mantab cocok,1
378,Lumayan Brang.A Good!!!,Lumayan Brang.a Good!!! ,1
379,Mantapss,"barang bagus, cepat sampai, packing baik",1
380,Sip Gan Mantap Barangnya,sip gan mantap barangnya,1
381,Lama Sampai Nya,"Chat lama di balas,jawaban chat kurang sopan dan pengiriman lama",0
382,Barang Sesuai Gambar.  Makasih,barang sesuai gambar.  makasih ,1
383,"Barang Sesuai Pesanan Mas Bro Dan Terpercaya , Thanks","Barang sesuai pesanan mas bro Dan terpercaya , thanks",1
384,Terimakasih!!!,Terimakasih!!!,1
385,Gk Dikirimin Warna Merah,Gk dikirimin warna merah...lupa tulis..tp ud chat..eh dikirimnya wrna gelap,1
386,"Sesuai Harga, Bagus","Sesuai harga, bagus",1
387,Ok,Barangnya sesuai dengan deskripsi,1
388,Remote Jelek,"remot parah banget tidak sesuai judul jika barang baru....dos bukan aslinya. unit nyala dengan baik, kabel hdmi baru......kecewa banget mengenai remote",0
389,Barang Sesuai Pesanan. Mantaps,Barang sesuai pesanan. Mantaps,1
390,Tidak Bagus..,Tolong perhatikan timbangan..!! yg ditawarkan 250gr..masa yg dikirim 150gr..,0
391,Responnya Lambat,"Responnya lambat banget, tapi buat barangnya dijamin bagus sesuai harga ",1
392,Bagus Sesuai Sama Harga Nya...,bagus sesuai sama harga nya...,1
393,Agak Kecewa,.................... ........ Tas banyak noda :(,0
394,Bagus......,Bagus...... ,1
395,Bagus,"Barangnya Bagus, nyaman dipake",1
396,Sip,Bagus sesuai pasanan.. Jahitannuya rapih juga cocok,1
397,Yg Cewe Kegedean,yg cewe kegedean,1
398,Bagus Banget,Sesuai dg gambar dan harga sangat bagus tidak mengecewakan,1
399,Barang Sesuai,barang sesuai,1
400,Barang Tidak Sesuai Pesanan,Pesan na no 36 di kirim na no 37,0
401,Kualitas Baik,kualitas baik,1
402,"Pengiriman Cepat,Tp Krimnya Belum Dicoba","Pengiriman Cepat,tp Krimnya belum dicoba",1
403,Pengiriman Cepat,Sampai datang dengan selamatselamat,1
404,Barang Bagus,barang bagus,1
405,Mantap Benar Ok,Mantap benar ok,1
406,Best,Brg udh ditrima dgn baik..sesuai pesanan..good reseler,1
407,Barang Busuk,"Barang yg jual tukang tipu kaya nya, celana ukuran 38 tp kaga muat di pake, jual jangan menipu orang . Tidak berkah",0
408,Bagus Bahannya,bagus bahannya,1
409,Bagus,Bahan nya adem dan jahitan rapih,1
410,Recomend Seller,recomend seller,1
411,"Barang Diterima, Trm Ksh","barang diterima, trm ksh",1
412,Barang Bagus,barang bagus,1
413,Bagus,Barang sesuai pesanan dan cepat sampai,1
414,Keren!,saya pesan yg udah di rakit seperti 3 rak awalnya kok ini di datangnya belum di rakit wah gimana nih ? di chat lagi ga ada respon ,1
415,Trims Ya Gan Barang Sesuai Dengan Gambar,trims ya gan barang sesuai dengan gambar,1
416,Cepat Sampai....,Barang cepat sampai....,1
417,Keren,keren,1
418,Pesanan Cepat Aampai,Cepat sampai barang nya pengiriman cepat,1
419,Barang Sampai Tidak Bisa Hidup,barang sampai tidak bisa hidup,0
420,Luar Biasa,gan makasih sudah packing dengan baik kirim dengan cepat luar biasa,1
421,Ok Gan Warna Sma Ukuran Mantab,ok gan warna sma ukuran mantab,1
422,"Baterai Yg 1 Rusak Dan Gembung, Tidak Dapat Ngisi Di Cas","Tidak suka dan sangat kecewa, dan tolong baterai di ganti",0
423,Sesuai Gambar.. Bagus Bonekanya,sesuai gambar.. bagus bonekanya,1
424,Bagus,Ya lumayan sesuai dengan harganya.,1
425,Lumayan,terimakasih barang sudah sampai,1
426,Joosss..,joosss..,1
427,Natural Republic Aloe Vera,"Varang bukan yang saya kehendaki,sangat cair dan banyak air,bau kurang sekali ,maaf kami menolak",0
428,Barang Sudah Diterima...Thanks,barang sudah diterima...thanks,1
429,Fashion Wanita Sw Crop Syal Baju Croptop Baju...,Digambar keliatannya syal smpe kbelakang tengkuk. Trnyata dr pundak saja,1
430,Barang Ok,barang OK,1
431,Kualitasnya Bagus,Kualitasnya bagus,1
432,Barang Lama Nyampe,"barang lama nyampe,  dan pecking nya sangat mengecewakan sehingga barang rusak.talinya lepas. Semoga packingnya lebih ditingkatkan lagi. ",0
433,Keren Boss,"Barang sesuai dengan pesanan, pokokny keren",1
434,Bagus,"Saya beli 2 hitam ama putih semuanya ok,,, tp syg yg warna hitam menu gk ada bahasa indonesianya, tp gk masalah biar anak bs belajar bahasa inggris hehe",1
435,Semoga Awet Dipakainya. Sesuai Pesanan.,semoga awet dipakainya. sesuai pesanan.,1
436,Ulasan,"Cepet sampai, sesuai pesanan, barangnya bgus",1
437,Ok,okkkkkleeeeeeeee................,1
438,Ok,Barang berbeda dgn di gambar.. but its ok.. fit utk sony a6300,1
439,Sesuai Pesanan,Imut tasnya...bhannya bagus...suka perpaduan warnanya,1
440,Payah,Barang tidak sesuai dengan gambar,0
441,Joy Stik Game,Barang keren. Sesuai yang saya harapkan..hp android bisa jadi PC dengan Joy stick ini..,1
442,Barang Bagus,"Barang sampai sesuai pesanan.. packing rapih, barang kinclong, sesuai prediksi memang agak lama sih, krn jarak kali ya.. tp ttp puas dgn layanannya.. thanks...sukses ya gan.. take the 5star..",1
443,Yaa Lumayan..Sesuai Hrg..Thank Gan Bonusx Mantap..,yaa lumayan..sesuai hrg..thank gan bonusx mantap..,1
444,Good,good,1
445,Konfirm Penerimaan,"Lumayan gan, sejauh ini barang bagus, sayang ga ada chargernya, makasih gan",1
446,Lumayan...Bahannya Adem,lumayan...bahannya adem,1
447,Keren Sesuai,Keren recomended seller jossjossssss,1
448,Pantes Murah,Ya namanya murah... Gapapa lah yg penting ga penasaran lagi,1
449,Sesuai Pesanan N Barang Oke,Sesuai dengan yang dipesan serta pengiriman cepat,1
450,"Tidak Sesuai Ekspetasi, Bahan Tipis","Tidak sesuai ekspetasi, bahan tipis,",0
451,Fast Response,Fast response,1
452,Bagus,Barang sesuai pesanan..buka lapak memang memang mantap,1
453,Tetapi Akan Lebih Baik Jika,<br/>,1
454,Alat Cek Uang,"LUMAYAN , MURAH , CUMA BELUM ADA BATERAI NYA , MUDAH MUDAHAN AWET . SUKSES RESELER",1
455,Aaaaaaaaaaa,Gooooooooooiiiiooodddddddddddd,1
456,Tinggal Pasang....,tinggal pasang....,1
457,Respon Cepat,"Barangnya bagus dan harga terjangkau, respon penjual juga cepat",1
458,Pesanan Tidak Sesuai ..,pesenan tidak sesuai dengan apa yang kita pesan ..,1
459,Saya Puas!,kualitas barang sesuai harga. lumayan lah buat pamakaian di dalam rumah.,1
460,Barang Sudah Di Terima,Barang sudah di terima,1
461,Kreatif Yg Buat Ini,"kreatif yg buat ini, cocok buat adik di pondok, Krn tipis jd praktis di simpan di lemari",1
462,Terima Kasih Barang Sudah Sampai,terima kasih barang sudah sampai,1
463,Puas,"Respon cpt,barang sesuai aplikasi,cpt sampai",1
464,Biasa,Tidak sesuai ekspetasi.. tp lumayan lah,1
465,Bagus,"packingya rapi,cepet nyampe,isi nya sesuai deskripsi,bagus pokoknya,terimakasi",1
466,Sesuai Barangnya,sesuai barangnya,1
467,Cepat Sampai,cepat sampai,1
468,Bagus,Tingkatkan pelayanan biar pelanggan puas,1
469,Bagus.. Sesuai Pesanan,"Sepatunya bagus.. Ukuran sesuai.. Recom seller. Cuman, sedikit ada lem dibagian strip hitam. Tapi, ga masalah.. Saya kasih bintang 3 dulu. Sesuai janji, selama 2-3 hari pemakaian sol tetap kuat.. Saya tambah 2 bintang (jadi bintang 5) :)..",1
470,Kecewa!,Kecewa sekali karena pertama kali saya coba langsung konslet dan power mati total.,0
471,Mantapppp,"Barang oke sesuai pesenan, sangat memuaskan. Terimakasih",1
472,Suka,Barang sesuai deskripsi warna bagus,1
473,Sebenernya Udh Pernah Brlanja Dimarih,"Cm kmrn kok tumben agak ngaret,  mungkin pas sistem BL nya yg lelet kali yak,  barang sampenya malem.  Order dr kmaren sore pake gosend..",1
474,Warnany Bagus,warnany bagus,1
475,Bagusss,Bagusssss jam nyaaaaaaaaaaaaaaaa,1
476,"Mkasih ,Gan Hadiahnya....Biar Bintang Yang Berbicara....",Ni order yang kesekian kalinya...kalo.bisa ada harga grosirnya....,1
477,Mantap,"Barang sampai dengan aman, kualitas mantaap",1
478,Packig Baik,Packig baik,1
479,Bagus,bagus      ,1
480,Mantappp,mantaapp barangnya sesuai pesanan,1
481,Barang Diterima Dalam Kondisi Rusak,Barang yang saya harapkan bagus dan bisa bermanfaat namun justru saya terima dalam kondisi Rusak,0
482,Good,bagus sih barangnya sesuai dengan gambar,1
483,Barang Diterima Dalam Keadaan Rusak,"Barang diterima dalam keadaan rusak,  pelayanan tidak menyenangkan pelapak susah di telfon karena barang cacad, Bukalapak harus segera proses",0
484,Ok,Wololoooooooooooooooooo,1
485,Good,"Brg sesuai pesanan kualitas mantap, harga murah",1
486,Cepet,Thanks ya gan.........................,1
487,Nice,Barang oke tinggal di coba dulu,1
488,Numero Uno,Pokoknya recommended lah............................,1
489,Belom Dicoba,masih belum tau bisa di gunakan atau tidak,1
490,Lcd Touchscreen,"Tombol kembali yg saya dapet agak susah, tombol multitab suka kaya kepencet sendiri terus menerus kalo lagi kumat. Brightness juga gabisa diatur, cuma bisa brightness maksimal aja, gabisa low bright, jadi rasanya agak mengganggu penglihatan. Kualitas warna Layar juga buruk, yg tadinya amoled jadi serasa tft. Kurang tajam.",1
491,Sesuai Harga,sesuai harga,1
492,Sesuai Harga,sesuai harga,1
493,Mantap,Barang sudah sampai dengan selamat. Cuma yg pulpen lancip saya bingung cara pakenya. Hahahahaha,1
494,Good,"Bagus, sesuai pesanan. Pas di coba hasilnya Natural bgt kaya alis beneran, efeknya buat bulu alis jd lebat ga keliatan lukis alis",1
495,Ok,Ok barang sesuai pesanan...........,1
496,Kereenn!,Mantaaappp barang sesuai dg iklan....,1
497,Lebih Mantep Suaranya Dan Fitur Fiturnya,lebih mantep suaranya dan fitur fiturnya,1
498,Sudah 1 Bulan Barang Belum Di Terima,"Barang yang saya beli, sudah 1 bulan belum di terima",0
499,Kebesaran,ternyata tidak bisa dituker..kebesaran,0
500,Bagusss,"Bru dicobain, trnyata gak muat. Biasa pke clana chino no 32, dsni pesen no 33 masih gak muat jg.",1
501,Barang Belum Kami Terima Sampai Hari Ini,barang belum kami terima sampai hari ini,0
502,Bagus,pengiriman cepat kondisi barang cuma dus packing aja yg penyok tapi barang aman gak rusak..,1
503,Mantap,Cuma dari sayanya salah pilih warna,1
504,Keren,"PAcking rapi, barang sesuai, respon cepat",1
505,Barang Sesuai Pesanan Dan Pengiriman Cepat,"Packing rapi, respon cepat sangat memuaskan harganyapun terjangkau bisa buat dijual lagi",1
506,Warna Yg Di Pesan Tidak Sesuai,warna yg di pesan tidak sesuai,1
507,Pelampung Renang,Barang sesuai deskripsi...packing baik...pengiriman cepat....mantap,1
508,Barang Sudah Diterima,Lebih dari 3 Minggu barang baru sampai padahal estimasi 3 hari,1
509,Top,Semoga sukses selalu kereeeennnnnn,1
510,Real Pick,"Bagus sesuai dengan gambar, semoga suami suka ",1
511,Untuk Sesuai Harga Barangnya Udah Bagus,Untuk sesuai harga barangnya udah bagus,1
512,Barang Udah Sampe Sesuai Dgn Pesanan,Mantab dapat cairan pembersih kacamatanya keren,1
513,Sesuai Dengan Harga,Cocok sesuai dengan harga nyab,1
514,Mantap Barang Baguss,mantap barang baguss,1
515,Ok,Cepat dan tepat waktu tp agak kekecilan aja sepatunya tapi keseluruhan sdh ok,1
516,Sesuai Deskripsi,"Barang sampai sesuai deskripsi dan dapat digunakan dengan baik, hanya pengirimannya agak lama",1
517,Size Kecil Padahsl Sudah Ukuran Paling Gede,Kecewa dengwn ukuran nya yg kekecilan..,0
518,Bagus,bagus,1
519,"Sesuai Harapan, Oke Banget","sesuai harapan, oke banget",1
520,Kwalitas Kurang    > Jahitan Kasar,kwalitas kurang ---> jahitan kasar,1
521,Iklan Tak Seindah Aslinya,Iklannya VR Box 2 tapi ternyata yg saya terima VR Box versi sebelumnya... Iklan tak seindah aslinya...,0
522,Lumayan,Baju kebesaran dan pita tdk sesuai picture. Jd hrs di permak sdkt,1
523,Tidak Sesuai Gambar,"Orderan tdk sesuai dgn gambar,,tetapi pelapak menggantinya dgn produk lain + free sabun",1
524,Celana Jeans,"Harga OK, bahan halus, cuma agak kekecilan dikit. Thanks",1
525,Tidak Bisa Nyala,tidak bisa nyala,0
526,Suka Belanja Disini ,suka belanja disini ... respon agak lambat tapi pasti... josss... lanjutkan gan,1
527,Saya Puas,"Bahannya bagus, dan karet bawahnya juga tebel. Cuman pas lubang talinya ajah besi lingkarannya ngga rapih ada bagian yg tajem jd bikin tali sepatu suka nyangkut dan jadi murudul deh talinya.",1
528,Barang Sudah Diterima,barang sudah diterima,1
529,Kecewa!,kualitas jelek,0
530,Kecewa Beli Disini,Kecewa beli dini kasian mama gua di tipu dasar,0
531,Bagus,Pen kamera slot micro sd berfungsi dengan baik,1
532,Yg Ready Putih Saja,"Waktu chating ready hitam dan biru,, pas d transfer yg ready hanya putih,, ya sudahlah sdikit kecewa,, di pakenya tdk crop sprt hoodie biasa saja,, quality oklah",1
533,Mantap,"Barang sesuai pesana , kulit asli kaya original",1
534,Terima Kasih,Barangnya sangat bagus thanks yaaa,1
535,Kaos T Shir Wanita,Barangnya bagus dan harganya ok. Thank to pelapak dan bukalapak untuk flashdealnya,1
536,Bagus,bagus,1
537,Tas Anti Hujan Dan Anti Maling,Kabel data USB kalau di masukkan ke power Bank GK cocok jadi saya ganti kabel data USB baru kalau bisa di kirim,1
538,"Barang Sesuai Deskripsi
 Chat & Respon Cepat",barang sesuai deskripsi,1
539,Kualitas Mantap,kualitas mantap,1
540,Barang Tidak Sesuai Dengan Gambar,barang tidak sesuai dengan gambar,0
541,Sangat Memuaskan,"Murah gak kelihatan murahan, saya suka sekali, terimakasih",1
542,Kurang Halus..  Catnya,Suka..tpi warnnya kurang paspas.. ....,1
543,Ulasan,Barang sesuai pesanan dan pengiriman cepat tks,1
544,Keren,Barang sesuai pesanan gan mantap dah pokoknya!  ,1
545,Mantap,Pokok&apos;e flashdeal bukalapak jos tenan. Makasih mayora dan bukalapak,1
546,"Barang Sesuai Dengan Deskripsi, Sippp!!","barang sesuai dengan deskripsi, sippp!!",1
547,Pengiriman Lama ( 7 Hari ) ,"Pengiriman lama ( 7 hari ) ,, panjang celana kurang sehingga kaki cingkrang + lingkar pinggang celana beda dengan uk. cm / inch yg umum alhasil celana tak terpakai ...",0
548,Jelek,terlalu banyak motif cowoknya,0
549,Hati Hati Sama Seller Ini,"Pemesanan lama, respond gak ada, 7 hari ga dikirim-kirim barangnya, masukin resi acak sembarangan sampe 2x, seller juga mengarahkan untuk melakukan pembayaran manual via transfer.",0
550,Kecik Banget,Kecil yah tempatnya... Kaya tester gtu tmptnya...,1
551,Barang Lagi Kosong Tapi Iklan Masih Ada,"Barang lagi kosong tapi iklan masih ada, udah pesen akhirnya di refund",0
552,Pb Nya Ringan,PB ringan doanya kaya dia karton biasa terus ditempel merekmya,1
553,Cepat Sampai,Biasa 3hari ini 2 hr udah nyampek,1
554,Lumayan,Pokok ya lumayannnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,1
555,Mantap,Barang cepat sampai barang jossss pak mantap next order lagi,1
556,Mantap!,"Barang keren, fungsional dan sesuai deskripsi. Packing aman dan rapi, pake kertas kado pula kaya kado ultah. Pokonya mantap!!",1
557,"Wah, Puas Banget!","Tombol on off tdk ada, boros baterai. Permintaan warna hitam dikirim warna merah. Padahal saat konfirmasi stock, warna hitam tersedia. Kecewa dgn pelayanan",1
558,Good,Sesuai keinginan kwkejfdnssksddd,1
559,Lol,"Pngiriman lama, chat jga g d bls",1
560,Lumayan .. Agak Kurang Tebal Dan Kencang Karetnya,Lumayan .. agak kurang tebal dan kencang karetnya,1
561,Recommended Seller,"Barang sesuai , harga sesuai, waktu sesuai",1
562,Bagus,bagus,1
563,Kacamata Keren,"Nyaman, dan ringan design ok kekinian",1
564,"Packing Rapi

Namun Akan Lebih Baik Apabila Di Beri Bonus",packing rapi,1
565,Respon Tidak Ada. Barang Sampainya Molor. Barangnya Dah Bgs.,Barang sesuai. Pengiriman molor. Respon tidak ada.,0
566,Bingung Cara Pakai Nya,Masih belum bisa pakai nya nih.... Okay sih,1
567,Barang Bagus,"mic nya work, suara jernih ketika di test, sesuai ekspetasi.. recomend deh.. ",1
568,Bagus Dan Berfungsi Sesuai,"Beli aja jika diperlukan, untuk yutuban dan Streaming cucok banget",1
569,Keren! Sesuai Pesanan,keren! sesuai pesanan,1
570,Blouse Off Shoulder,Terima kasih ...istri saya suka sekali,1
571,Mantap,Brg sdh smpai dgn kondisi yg memuaskan...tdak ad cacat dan berfungsi dgn baik....,1
572,Puas,"Baramg sesuai yang di inginkan , recommend banget lah",1
573,Sangat Kecewa Barang Tidak Sampai,Sangat kecewa barang tidak saya terima,0
574,Sesuai,Sangat cocok dngan yg di pesan,1
575,Baguuus,Cuma pas pembelian kedua brg nya lama sampe..tp gk papalah..skrg brg nya udh sampe,1
576,Ukiran 44 Nya Terlalu Kecil,ukiran 44 nya terlalu kecil ,1
577,Barang Tidak Bisa Berfungsi,Barang sesuai pesanan tapi ngak bisa konek ke hp,1
578,Ok Baguuuuussssssssssss,ok baguuuuussssssssssss,1
579,Qualitynya Kurang Bagus.,Kualitas ya kurang bagus. Bahannya nya tipis n resletingnya juga.,1
580,Josss...,josss... ,1
581,"Barang Sesuai , Packing Mantap","barang sesuai , packing mantap ",1
582,Korset,"barang nya bagus koyo nya juga terasa banget, terima kasih gan barang nya keren",1
583,Barang Murah Dan Bagus ,"Barang murah dan bagus , packaging ok juga pake kardus susu ... kelihatan banget juragan ini punya anak kecil. Tapi tetap semangat dan fast respon nyari nafkah nya ... ini penjual yang amanah .... best seller recomendes banget lah",1
584,Good,good,1
585,Gak Sesuai,Apaan2n ini gak sesuai sama barang mentang2 flash sale di kirim beda sm di foto,0
586,Tks Barang Sudah Di Terima,tks barang sudah di terima,1
587,"Murah

Namun Akan Lebih Baik Apabila  Blm Coba",murah,1
588,Keren!,"barang sudah sampai walaupun celananya warnanya ada yg sama tp gpp,makasih",1
589,Bagus,"Sesuai dengan gambar, terima kasih",1
590,Sesuai Dengan Pesanan,sesuai dengan pesanan,1
591,Pesen Yang No Sepuluh Datang Yang Warna Item.,Tidak suka nya warna yang di kirim tidak sesuai harapan..heemmmm,1
592,Lama Samnpainya. R1nya Juga. Banyak Yang Tidak Berfungsi.,Kelamaan dibandengan selatan. Klo pake j n t biasanya 3 hari udah sampai. Ini 5 hari,1
593,Siipp..  Bagus...,siipp..  bagus... ,1
594,Barangnya Lumayan Bagus,"Suka dengan pelayanannya, barang juga memuaskan dan prosesnya tepat waktu",1
595,Bagus Dan Sesuai Pesanan,Bagus dan sesuai pesanan,1
596,Barang Cepeta Sampai Kain Aden,Bahanya bagus respon cepet  .dan dcepet sampai,1
597,Ok Sesuai Pesanan,ok sesuai pesanan,1
598,Kualitas Sekelas Yang Mahal Punya,Barang2 merk sunfree MURAH dan tidak MURAHAN,1
599,Best Seller,"Cepat sampai,respon cepat,packing rapih",1
600,Puas,"Blum dicoba, mudah2an cocok dan berkhasiat.............",1
601,"Ok

Namun Akan Lebih Baik Apabila Ok Ajalah",ok,1
602,Vacum Pembersih Telinga,"Yang jelas responya cepat, barang sesuai pesanan",1
603,Baguss,"tshirt sdh diterima, bhnnya ok..thank you :-))",1
604,"Bagus,Sesui Deskripsi","bagus,sesui deskripsi",1
605,Celananya Oke Jga Bagus,Pengitriman cepat.. Cepat sampai,1
606,Kosong,Bayar untuk ini...tp cuma karton bekas ,0
607,Kualitas Tanaman Mantap,kualitas tanaman mantap,1
608,Keren Bin Imut,"Barangnya imut, cocok d bawa kemana mana, dan bermanfaat",1
609,Sial,Minta biru muda malah di kirim biru dongker,0
610,Enak,Murah enak dan lezat....sering2 ya dpt yg Murmer...,1
611,Sip,Sip,1
612,Kecewa!,barangnya yg 1 kasar sdngkn yg 1 halus bngt end barang nya klu bs jgn lama dtgnya.,0
613,Cepat Nyampainya,Tp ukurane kurang besar ..overall ok,1
614,"Sip

Namun Akan Lebih Baik Apabila Ada Yg Warna Hitam",Sip,1
615,Hdmi,"Tidak bisa digunakan, tampilan cek list.di Wifi dan di TV, tidak muncul gambarnya apa-apa. Berikut screen shot error dalam lampiran. Saya sudah coba di beberapa TV dan Beberapa Handphone. Tetap sama",0
616,Manap,Seesuai pesanan recomend banget mantab,1
617,Mantab,mantab,1
618,Keren Sekali,"Barang bagus tapi sayangnya tidak ada saku di bagian dalam,,jadi intinya tidak sesuai gambar",1
619,Komplain Barang Tak Diterima,"Sampai hari ini barang belum dikirimkan, pihak grosir (setelah terlambat lewat beberapa hari yg seharusnya sampai) menyatakan tak sanggup dan meminta saya lewat admin ini untuk membatalkan pesanan! Bagai mana solusinya?",0
620,"Barang Oke,","Yaa gitu deh,  ya sudahlah, biar allah swt yang berikan jalan dan hidayahnya saya selaku umat cuma bisa bilang amin..",1
621,Badai Flash,"Murah banget cuma 1000 dpet 3,,makasih admin barang cepet dikirim juga",1
622,Sesuai Pesanan,Sesuai Pesanan dan respon chat cepat,1
623,Cepat Sampai,Cepat sampai . Kasih 4 dulu ya semoga cocok .,1
624,Baguss,Barang cepat sampai terima kash,1
625,Sukses Selalu Berang Sudah Nyampek,Oke dan sip pelayanan nya ...,1
626,Terima Kasih,Bajunya bagus tp sayang bahannya tipis.,1
627,Asli Dan Memuaskan,Asli dan memuaskan,1
628,Barang Bagus,Barang bagus tapi bahannya karet semua tidak seperti kelihatannya,1
629,Mantap Gan,Harga termurah yg ada d online shop ini dan KUALITAS nya TOP,1
630,Kok Gini ?,"barang tidak sesuai seperti di gambar, kecewa. pantes murah, yang kanan juga gak bisa. haduh haduh . nyesel dah",0
631,Bagus Sesuai Dg Brgnya,bagus sesuai dg brgnya,1
632,Jadi Rata,make up wajah jadi lebih rata dan halus,1
633,Mantap Gan. Pas. Perfe Ct Dah,mantap gan. pas. perfeCt dah,1
634,Barang Bagus,barang bagus,1
635,Dengan Harga Segitu,"Dengan harga segitu, ya bagus lah kualitasnya. Full sampe pinggang pula. ",1
636,Packing Rapih,"packing rapih. Namun, akan lebih baik apabila cek barang sebelum di kirim",0
637,Rasa Nya Sama,rasa nya sama,1
638,Suka Sekali Karna Pengiriman Cepat,Suka sekali karna pengiriman cepat,1
639,Barang Sesuai Pesanan,barang sesuai pesanan,1
640,Alhamdulillah,alhamdulillah ,1
641,Baguss,"Barang bagus sesuai harga nya , hatur nuhun",1
642,Bagus,Paket cepat sampaisampai dan mendarat dengan selamat,1
643,Cepat... Thanks..,Cepat... Thanks.. ,1
644,"Buruk ,Tidak,Tidak Ada Fungsi Nya.","buruk ,tidak,tidak ada fungsi nya.",0
645,Barang Cocok,Sesuai dengan iklan nya. Terimakasih atas kerjasamanya. Semoga lapak Anda senantiasa dalam keBerkahan..,1
646,Nice,nice,1
647,"Tombol Samping Nya Tidak Ada
  Dan Tidak Berfungsi Gmna Ni",tombol samping nya tidak ada,0
648,Lambat Sekali Pengirimanya,Barang datangnya hanpir 10 hari,0
649,Sesuai Pesanan,Lama sampai.......................................,0
650,Model Sesuai Gambar,"Packing rapi,baju sesuai gambar cuma respon pelapak kurang cepat",1
651,Brush Makeup,Lumayan cepat sampai dari barang sesuai pesanan,1
652,Very,Good and cheaper than in the real store,1
653,Kecewa,"barang tidak sesuai dengan gambar, warna tidak sama. digambar pink salem yang dateng dusty pink",0
654,Thank You Barangnya Sudah Diterima,Thank you barangnya sudah diterima ,1
655,Bahan Kurang Bagus&Kurang Menarik,Kecewa dengan barang pesanan yg begitu kurang menarik,0
656,Flash Sale,"Terima kasih, anak saya suka sekali",1
